zone_id,n,mae,rmse,avg_pickups,p95_pickups,borough,zone_name,service_zone,mae_perc_of_avg
132,168,26.98174432103979,35.00265378418404,166.2202380952381,331.50000000000006,Queens,JFK Airport,Airports,0.1623252657451991
138,148,26.091461170058952,32.96093556107882,131.6891891891892,255.65,Queens,LaGuardia Airport,Airports,0.19812910483164314
186,169,24.275014566172228,35.40846351141192,144.95857988165682,276.4,Manhattan,Penn Station/Madison Sq West,Yellow Zone,0.16746173000584155
142,166,23.839467483525688,44.05541824490473,140.53012048192772,294.0,Manhattan,Lincoln Square East,Yellow Zone,0.16963955771027364
237,167,21.46362222681135,30.27157604762992,211.37125748502993,429.7,Manhattan,Upper East Side South,Yellow Zone,0.10154465882539153
236,164,21.063178396512942,29.473947748937757,203.53048780487805,407.94999999999993,Manhattan,Upper East Side North,Yellow Zone,0.10348905770179222
161,167,19.84129472621309,31.69013382636652,208.562874251497,543.3999999999999,Manhattan,Midtown Center,Yellow Zone,0.09513339705074896
230,168,18.901336621654004,27.216207283985735,141.98809523809524,312.20000000000005,Manhattan,Times Sq/Theatre District,Yellow Zone,0.1331191646029124
162,168,16.532312313675828,22.315622506549985,152.91071428571428,344.3,Manhattan,Midtown East,Yellow Zone,0.10811742258155393
68,168,15.304441513392717,21.434239979104383,111.78571428571429,209.0,Manhattan,East Chelsea,Yellow Zone,0.1369087419728422
163,168,14.922820478386035,21.91133432361123,125.17261904761905,274.7500000000001,Manhattan,Midtown North,Yellow Zone,0.11921792954343306
170,168,14.060792000901653,18.804925676411592,118.2202380952381,248.3,Manhattan,Murray Hill,Yellow Zone,0.1189372668119167
164,168,14.04139179613799,20.48731675603302,91.64285714285714,192.0,Manhattan,Midtown South,Yellow Zone,0.1532186166375151
79,168,13.894686923931781,24.007647943692575,98.5952380952381,337.35000000000014,Manhattan,East Village,Yellow Zone,0.14092655175202481
246,166,13.800979530595598,19.996659420958412,75.43373493975903,237.25,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,0.18295500735336762
48,168,13.785650093249606,19.092859119511633,105.88095238095238,225.3,Manhattan,Clinton East,Yellow Zone,0.13019952865223375
43,156,13.191483136427877,19.100417006844356,67.87179487179488,145.5,Manhattan,Central Park,Yellow Zone,0.19435883729531062
234,167,13.131127333063064,20.382633621185793,113.91017964071857,243.39999999999998,Manhattan,Union Sq,Yellow Zone,0.11527615332079755
249,168,12.807777154177582,21.110400059039225,98.7202380952381,316.5500000000002,Manhattan,West Village,Yellow Zone,0.1297381104553412
239,167,12.522168556029168,17.748997931348395,117.36526946107784,222.79999999999995,Manhattan,Upper West Side South,Yellow Zone,0.10669398718657505
107,168,12.509338527042335,18.047226003555984,86.22619047619048,151.0,Manhattan,Gramercy,Yellow Zone,0.14507585755509542
238,166,11.468916319444205,17.106068740043405,87.16867469879519,169.0,Manhattan,Upper West Side North,Yellow Zone,0.1315715348326011
141,168,10.497588476835432,14.686072181223313,103.82738095238095,185.95000000000002,Manhattan,Lenox Hill West,Yellow Zone,0.10110616660599396
262,160,10.070271428997497,14.43353349047548,65.64375,145.34999999999988,Manhattan,Yorkville East,Yellow Zone,0.1534079242730267
100,168,9.7189821921886,14.119027542312894,65.23214285714286,113.65,Manhattan,Garment District,Yellow Zone,0.14899069333768453
263,168,9.653882344265233,13.145379298826837,84.91666666666667,151.65,Manhattan,Yorkville West,Yellow Zone,0.11368654379900175
114,166,9.503272767727758,14.719097202073968,58.86144578313253,198.75,Manhattan,Greenwich Village South,Yellow Zone,0.16145156887143666
140,168,9.457640662159577,12.932170765937585,94.0952380952381,208.0,Manhattan,Lenox Hill East,Yellow Zone,0.10051136331242465
90,168,9.233822949155215,14.331149319852845,67.70238095238095,136.65,Manhattan,Flatiron,Yellow Zone,0.13638845221189347
229,168,8.898506145156578,12.007969733497223,79.35714285714286,148.3,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,0.11213239066803968
143,160,8.614747416912412,13.886069775199864,50.7,103.09999999999997,Manhattan,Lincoln Square West,Yellow Zone,0.16991612262154657
231,166,8.35363846789853,12.12937636927675,56.3855421686747,115.75,Manhattan,TriBeCa/Civic Center,Yellow Zone,0.14815213522127738
148,166,7.884867035936892,14.40151734973153,43.06024096385542,198.25,Manhattan,Lower East Side,Yellow Zone,0.18311246893753835
158,159,7.486054842315901,11.66362687831517,37.698113207547166,105.39999999999998,Manhattan,Meatpacking/West Village West,Yellow Zone,0.19857903235372512
137,167,7.377333264367114,10.880963147784982,47.0,91.69999999999999,Manhattan,Kips Bay,Yellow Zone,0.15696453753972583
233,164,7.371687226584101,10.379637561900312,48.96341463414634,95.85,Manhattan,UN/Turtle Bay South,Yellow Zone,0.15055500686921452
144,158,7.284732413134223,10.047660710984088,37.651898734177216,109.05000000000004,Manhattan,Little Italy/NoLiTa,Yellow Zone,0.1934758314464964
113,165,6.8361266920069514,9.917207422890014,60.587878787878786,117.79999999999998,Manhattan,Greenwich Village North,Yellow Zone,0.11282993939993469
70,132,6.543252975692069,8.263684352191234,19.303030303030305,38.0,Queens,East Elmhurst,Boro Zone,0.3389754288820067
151,161,6.066224562181686,9.05624787286737,33.90683229813665,72.0,Manhattan,Manhattan Valley,Yellow Zone,0.1789086196210389
211,164,5.427857722069975,8.404118127676014,30.097560975609756,82.0,Manhattan,SoHo,Yellow Zone,0.18034211232161182
75,159,5.398705718733065,7.691586850407872,26.540880503144653,55.099999999999994,Manhattan,East Harlem South,Boro Zone,0.20341095006600884
50,163,5.097357397510103,6.846200773226916,21.950920245398773,42.900000000000006,Manhattan,Clinton West,Yellow Zone,0.2322161139726514
166,153,5.002849644172427,7.230554274496353,20.790849673202615,42.400000000000006,Manhattan,Morningside Heights,Boro Zone,0.2406274742402959
125,163,4.901159800214471,6.476072061267435,20.938650306748468,41.900000000000006,Manhattan,Hudson Sq,Yellow Zone,0.2340723842469847
87,154,4.815359557072825,7.002898975332805,19.084415584415584,42.39999999999998,Manhattan,Financial District North,Yellow Zone,0.25231894242572817
13,150,4.679869784502306,6.557086148044285,26.626666666666665,66.09999999999997,Manhattan,Battery Park City,Yellow Zone,0.1757587550514136
261,154,4.272638017679979,5.74536205907683,18.92207792207792,43.0,Manhattan,World Trade Center,Yellow Zone,0.22580173463373945
4,132,3.9633339072266103,7.978007724805647,7.598484848484849,44.349999999999966,Manhattan,Alphabet City,Yellow Zone,0.5215952898842597
88,150,3.2300913679758017,4.469088351408231,10.013333333333334,27.0,Manhattan,Financial District South,Yellow Zone,0.32257903142235034
24,152,3.208398483391625,4.422729333924084,11.493421052631579,24.0,Manhattan,Bloomingdale,Yellow Zone,0.27915086976275155
264,165,3.186534794068312,4.236659402605498,13.593939393939394,26.0,Unknown,,,0.23440848908661235
209,140,2.6845218594314155,3.7825774467358695,7.464285714285714,16.0,Manhattan,Seaport,Yellow Zone,0.35964886155062026
41,154,2.486384567348781,3.533202701521203,9.168831168831169,20.349999999999994,Manhattan,Central Harlem,Boro Zone,0.2711779202349237
74,155,2.4462579460321257,3.167408809974652,8.245161290322581,18.0,Manhattan,East Harlem North,Boro Zone,0.2966901264749448
45,138,2.290811348764444,3.0887494131935473,6.108695652173913,14.0,Manhattan,Chinatown,Yellow Zone,0.3750082634988058
224,149,2.1927775073925666,3.030342808211146,5.798657718120805,12.0,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,0.3781526025480237
232,147,2.110641511242847,3.278797856051098,4.829931972789115,12.399999999999977,Manhattan,Two Bridges/Seward Park,Yellow Zone,0.43699197486295566
42,135,2.078938847933946,3.3734317974232617,4.4222222222222225,9.299999999999997,Manhattan,Central Harlem North,Boro Zone,0.47011179978405815
255,75,1.9881202057286198,3.533053260412866,3.52,16.0,Brooklyn,Williamsburg (North Side),Boro Zone,0.5648068766274488
226,152,1.5804351387865452,2.077489120157833,3.3157894736842106,8.0,Queens,Sunnyside,Boro Zone,0.47663916884038665
116,125,1.4667668236243678,2.0957389305027654,3.208,9.599999999999994,Manhattan,Hamilton Heights,Boro Zone,0.4572215784365236
152,127,1.4165443914228826,1.9248130507913375,2.8897637795275593,7.699999999999989,Manhattan,Manhattanville,Boro Zone,0.4901938357239948
97,111,1.310654006779232,2.170026229749852,2.5585585585585586,5.5,Brooklyn,Fort Greene,Boro Zone,0.5122626575792069
145,130,1.2321160203040924,1.7032748803981412,2.6153846153846154,6.0,Queens,Long Island City/Hunters Point,Boro Zone,0.47110318423391767
256,79,1.2234233956199125,2.3834212045694825,2.5443037974683542,8.0,Brooklyn,Williamsburg (South Side),Boro Zone,0.48084800126354776
33,107,1.216395092894839,1.8840714506492815,2.5981308411214954,5.699999999999989,Brooklyn,Brooklyn Heights,Boro Zone,0.46818084510700636
61,100,1.212821203589496,1.6986517028318853,2.26,6.049999999999997,Brooklyn,Crown Heights North,Boro Zone,0.5366465502608391
12,66,1.208298742973743,1.5771507158637494,2.378787878787879,6.0,Manhattan,Battery Park,Yellow Zone,0.5079472422692168
7,126,1.1795196620506043,1.5771768610515997,2.4126984126984126,5.0,Queens,Astoria,Boro Zone,0.4888798599288689
181,99,1.1684355178467287,1.9040702877007238,2.202020202020202,6.0,Brooklyn,Park Slope,Boro Zone,0.5306197993891107
195,27,1.1454879500809338,2.0091623780937007,2.185185185185185,7.699999999999999,Brooklyn,Red Hook,Boro Zone,0.5242063500370375
244,122,1.1327760526083743,1.4882071806909651,3.0491803278688523,7.0,Manhattan,Washington Heights South,Boro Zone,0.371501823704897
25,104,1.1146321297005106,1.5333729620740855,2.423076923076923,5.0,Brooklyn,Boerum Hill,Boro Zone,0.46000691067005206
146,123,1.089402522791152,1.3395263827968698,2.2357723577235773,4.0,Queens,Long Island City/Queens Plaza,Boro Zone,0.4872600374665879
112,58,1.0756733491671913,1.7514902088860071,2.2241379310344827,7.0,Brooklyn,Greenpoint,Boro Zone,0.4836360794705201
76,80,1.021883008596082,1.2579712665295133,2.3125,5.049999999999997,Brooklyn,East New York,Boro Zone,0.44189535506857597
65,123,0.996501303635085,1.2312872384189915,2.1219512195121952,5.0,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,0.46961555688549983
80,63,0.9892745563656894,1.7065081253325436,2.126984126984127,5.0,Brooklyn,East Williamsburg,Boro Zone,0.46510669441073454
39,71,0.9424719743153219,1.2505073054188245,2.140845070422535,5.0,Brooklyn,Canarsie,Boro Zone,0.4402336195814991
91,51,0.9274931497330533,1.2875299776832934,1.9215686274509804,4.5,Brooklyn,Flatlands,Boro Zone,0.4826750064937318
52,64,0.9001922106659025,1.186486508415115,1.921875,5.0,Brooklyn,Cobble Hill,Boro Zone,0.4683926949806322
10,87,0.8880830143682922,1.0782626032721634,1.9425287356321839,4.0,Queens,Baisley Park,Boro Zone,0.4571788298819019
188,78,0.8821983856458562,1.1694311929444228,1.9743589743589745,4.0,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,0.4468277537686804
197,63,0.8632594104643385,1.1661739207635626,1.6666666666666667,4.899999999999999,Queens,Richmond Hill,Boro Zone,0.5179556462786031
129,88,0.836924702959763,1.0749681388690773,1.6477272727272727,4.0,Queens,Jackson Heights,Boro Zone,0.5079267162790285
36,37,0.8081538228112766,1.233915063639593,1.7837837837837838,4.199999999999996,Brooklyn,Bushwick North,Boro Zone,0.45305593096995805
265,76,0.7865557094305008,0.8653215665606458,1.4210526315789473,3.0,,Outside of NYC,,0.5535021658955376
260,101,0.7830141262451303,0.9773207280873231,1.6633663366336633,4.0,Queens,Woodside,Boro Zone,0.47074063542117955
130,83,0.779783689159731,0.9850779747966214,1.6385542168674698,4.0,Queens,Jamaica,Boro Zone,0.4758973985313064
51,54,0.770537468540554,1.0113498364550344,1.5925925925925926,3.6999999999999886,Bronx,Co-Op City,Boro Zone,0.48382585233941766
72,53,0.7670561237346495,1.0295300354695422,1.679245283018868,3.0,Brooklyn,East Flatbush/Remsen Village,Boro Zone,0.45678623098804966
222,34,0.7663735410291678,0.9736764126305774,1.6176470588235294,4.0,Brooklyn,Starrett City,Boro Zone,0.4737581889998492
35,61,0.765436562264089,0.8805258994234532,1.7049180327868851,4.0,Brooklyn,Brownsville,Boro Zone,0.4489579836356676
93,68,0.7567587955130274,0.9713860050166245,1.6470588235294117,3.0,Queens,Flushing Meadows-Corona Park,Boro Zone,0.45946069727576666
37,73,0.7564109184587007,1.5535614873674346,1.63013698630137,3.0,Brooklyn,Bushwick South,Boro Zone,0.46401678191163986
89,70,0.7475239825874488,1.088230196905489,1.7,3.0,Brooklyn,Flatbush/Ditmas Park,Boro Zone,0.43971998975732285
193,76,0.7463486007178604,0.9184530766588161,1.5789473684210527,3.25,Queens,Queensbridge/Ravenswood,Boro Zone,0.47268744712131155
66,75,0.7397983971011841,0.949611636532122,1.6933333333333334,3.299999999999997,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,0.43688881718573863
40,49,0.7347259703460954,0.901906719349048,1.6122448979591837,3.5999999999999943,Brooklyn,Carroll Gardens,Boro Zone,0.4557161081893503
131,28,0.7330049955766041,1.0249453613816457,1.6428571428571428,4.0,Queens,Jamaica Estates,Boro Zone,0.44617695382923733
223,83,0.7206322584019114,0.8705044004191864,1.5301204819277108,3.0,Queens,Steinway,Boro Zone,0.4709643893492807
71,50,0.7149240563648374,0.895405486845792,1.74,3.549999999999997,Brooklyn,East Flatbush/Farragut,Boro Zone,0.4108758944625502
215,72,0.7071806915854567,0.9209650256998774,1.5833333333333333,3.0,Queens,South Jamaica,Boro Zone,0.4466404367908148
157,44,0.6783134186489275,1.064539896785978,1.6590909090909092,4.700000000000003,Queens,Maspeth,Boro Zone,0.40884644411716176
225,59,0.6778585140814176,0.8835152196458612,1.6271186440677967,3.0999999999999943,Brooklyn,Stuyvesant Heights,Boro Zone,0.41660054511253786
216,71,0.6759037879485631,0.825756529115644,1.619718309859155,3.0,Queens,South Ozone Park,Boro Zone,0.4172971212551998
